sample_idx,accuracy_correct,match_type,confidence,predicted_answer,ground_truth_answer,match_f1,precision,recall,num_predicted_steps,num_reference_steps,num_matched_predictions,num_matched_references,avg_similarity,max_similarity,threshold_used
31,False,exact,0.3,A. Left,B,0.8571428571428571,1.0,0.75,3,4,3,3,1.0000001192092896,1.0000003576278687,0.35
32,True,exact,0.7,B. There are 3 palm trees.,A,0.5714285714285715,1.0,0.4,2,5,2,2,1.0,1.000000238418579,0.35
33,True,exact,0.7,C. The motorcycle is to the left of the yellow pole.,C,0.7499999999999999,1.0,0.6,3,5,3,3,1.0000001192092896,1.000000238418579,0.35
34,True,exact,0.7,A. The pizza cutter is larger.,C,0.8,1.0,0.6666666666666666,4,6,4,4,1.0000001192092896,1.000000238418579,0.35
35,False,exact,0.3,B. The mint is on the right in front of the fire.,C,1.0,1.0,1.0,5,5,5,5,1.0000001192092896,1.000000238418579,0.35
36,False,placeholder,0.0,insufficient information,3,0.0,0.0,0.0,0,7,0,0,0.0,0.0,0.35
37,True,exact,0.7,A) There are 2 short cones with white stripes.,C,0.4444444444444445,1.0,0.2857142857142857,2,7,2,2,1.0,1.000000238418579,0.35
38,False,numeric_mismatch,0.0,3,0,0.5714285714285715,1.0,0.4,2,5,2,2,1.0,1.0000001192092896,0.35
39,True,numeric_exact,1.0,2,2,0.6,1.0,0.42857142857142855,3,7,3,3,1.0,1.000000238418579,0.35
40,False,yes_no,1.0,Yes,No,0.6666666666666666,1.0,0.5,3,6,3,3,1.0,1.000000238418579,0.35
41,True,exact,0.7,B. Stay in the current lane,B,0.4444444444444445,1.0,0.2857142857142857,2,7,2,2,1.0000001192092896,1.000000238418579,0.35
42,True,exact,0.7,B. incline,B,0.7272727272727273,1.0,0.5714285714285714,4,7,4,4,1.0,1.000000238418579,0.35
43,True,exact,0.7,B. The bike is facing right.,C,0.4444444444444445,1.0,0.2857142857142857,2,7,2,2,1.0,1.000000238418579,0.35
44,False,numeric_mismatch,0.0,2,3,0.5,1.0,0.3333333333333333,2,6,2,2,1.0,1.000000238418579,0.35
45,False,yes_no,1.0,Yes,No,0.4444444444444445,1.0,0.2857142857142857,2,7,2,2,1.0000001192092896,1.000000238418579,0.35
46,False,exact,0.3,A. 0,C,0.4444444444444445,1.0,0.2857142857142857,2,7,2,2,1.0,1.000000238418579,0.35
47,False,exact,0.3,C. The gun is facing right.,B,0.6666666666666666,1.0,0.5,3,6,3,3,1.0000001192092896,1.000000238418579,0.35
48,False,numeric_mismatch,0.0,2,0,0.6,1.0,0.42857142857142855,3,7,3,3,1.000000238418579,1.000000238418579,0.35
49,True,exact,0.7,A. There are four faucets pictured.,A,0.5454545454545454,1.0,0.375,3,8,3,3,1.0000001192092896,1.000000238418579,0.35
50,True,exact,0.7,B. Pointing to the right.,B,0.7499999999999999,1.0,0.6,3,5,3,3,1.0000001192092896,1.000000238418579,0.35
51,False,exact,1.0,Left,Right,0.5714285714285715,1.0,0.4,2,5,2,2,1.0,1.0000001192092896,0.35
52,False,numeric_mismatch,0.0,2,3,0.7499999999999999,1.0,0.6,3,5,3,3,1.0,1.000000238418579,0.35
53,True,yes_no,1.0,Yes,Yes,0.5,1.0,0.3333333333333333,2,6,2,2,1.0,1.000000238418579,0.35
54,True,yes_no,1.0,No,No,0.5454545454545454,1.0,0.375,3,8,3,3,1.0,1.000000238418579,0.35
55,False,yes_no,1.0,Yes,No,0.5454545454545454,1.0,0.375,3,8,3,3,1.0000001192092896,1.0000003576278687,0.35
56,False,yes_no,1.0,Yes,No,0.4,1.0,0.25,2,8,2,2,1.0,1.0000001192092896,0.35
57,False,exact,1.0,Red,Green,0.6666666666666666,1.0,0.5,4,8,4,4,1.0,1.0000001192092896,0.35
58,False,yes_no,1.0,Yes,No,0.5454545454545454,1.0,0.375,3,8,3,3,1.0000001192092896,1.000000238418579,0.35
59,False,yes_no,1.0,No,Yes,0.6666666666666666,1.0,0.5,4,8,4,4,1.0,1.0000001192092896,0.35
60,True,yes_no,1.0,Yes,Yes,0.4,1.0,0.25,2,8,2,2,1.0,1.000000238418579,0.35
61,True,exact,0.7,C. In the left lane,C,0.5454545454545454,1.0,0.375,3,8,3,3,1.0000001192092896,1.000000238418579,0.35
62,False,placeholder,0.0,insufficient information,Yes,0.0,0.0,0.0,0,8,0,0,0.0,0.0,0.35
63,True,exact,0.7,C. The stairway is located to the left side of the entrance.,C,0.5454545454545454,1.0,0.375,3,8,3,3,1.0000001192092896,1.0000003576278687,0.35
64,True,exact,0.7,C. The padlock is located above the knob with a keyhole.,C,0.5,0.3333333333333333,1.0,3,1,1,1,0.9999999403953552,1.0,0.35
65,False,exact,1.0,Green,Yellow,0.4,1.0,0.25,2,8,2,2,1.0,1.000000238418579,0.35
66,True,exact,0.7,A. The black material is at the top of the tree.,B,0.5454545454545454,1.0,0.375,3,8,3,3,1.0000001192092896,1.000000238418579,0.35
67,True,exact,0.7,B. The dog is to the left of the stuffed animal.,B,0.6666666666666666,1.0,0.5,4,8,4,4,1.0,1.000000238418579,0.35
68,True,exact,0.7,C. The bottom right key symbol is facing up.,A,0.4,1.0,0.25,2,8,2,2,1.0000001192092896,1.000000238418579,0.35
69,True,exact,0.7,C. The left candle.,A,0.5454545454545454,1.0,0.375,3,8,3,3,1.0,1.000000238418579,0.35
70,True,exact,0.7,A. Yes,A,0.5454545454545454,1.0,0.375,3,8,3,3,1.0,1.0000001192092896,0.35
71,False,yes_no,1.0,Yes,No,0.6666666666666666,1.0,0.5,4,8,4,4,1.0,1.0000001192092896,0.35
72,True,exact,0.7,C. The water is behind to the left of the tater tots.,A,0.6666666666666666,1.0,0.5,4,8,4,4,1.0,1.000000238418579,0.35
73,True,exact,0.7,A. Te picnic table is to the left of the two trees in the lower left corner of the photo.,B,0.5454545454545454,1.0,0.375,3,8,3,3,1.0000001192092896,1.0000003576278687,0.35
74,True,exact,0.7,A. The bottom row of knives handles are facing to the right.,B,0.5,1.0,0.3333333333333333,2,6,2,2,1.0,1.0000001192092896,0.35
75,False,exact,0.3,B. The remote is centered.,A,0.5454545454545454,1.0,0.375,3,8,3,3,1.0000001192092896,1.0000003576278687,0.35
76,False,numeric_mismatch,0.0,3,5,0.5,1.0,0.3333333333333333,3,9,3,3,1.0000001192092896,1.000000238418579,0.35
77,True,exact,0.7,B. Toward San Francisco.,B,0.5,1.0,0.3333333333333333,3,9,3,3,1.0000001192092896,1.000000238418579,0.35
78,True,numeric_exact,1.0,2,2,0.6666666666666666,1.0,0.5,4,8,4,4,1.0,1.000000238418579,0.35
79,False,numeric_mismatch,0.0,2,0,0.3636363636363636,1.0,0.2222222222222222,2,9,2,2,1.000000238418579,1.000000238418579,0.35
80,True,yes_no,1.0,Yes,Yes,0.5454545454545454,1.0,0.375,3,8,3,3,1.0,1.000000238418579,0.35
81,False,placeholder,0.0,insufficient information,C,0.0,0.0,0.0,0,9,0,0,0.0,0.0,0.35
82,False,exact,0.3,C: White,B,0.5454545454545454,1.0,0.375,3,8,3,3,1.0000001192092896,1.0000001192092896,0.35
83,True,exact,0.7,B. The palm trees are located on top of the cliff or rock.,B,0.5454545454545454,1.0,0.375,3,8,3,3,1.0000001192092896,1.000000238418579,0.35
84,True,exact,0.7,C. Cloudy,C,0.5,1.0,0.3333333333333333,3,9,3,3,1.0000001192092896,1.000000238418579,0.35
85,False,exact,1.0,Two,1,0.3636363636363636,1.0,0.2222222222222222,2,9,2,2,1.0,1.000000238418579,0.35
86,True,numeric_exact,1.0,2,2,0.4,1.0,0.25,2,8,2,2,1.000000238418579,1.0000003576278687,0.35
87,True,numeric_exact,1.0,1,1,0.5454545454545454,1.0,0.375,3,8,3,3,1.0000001192092896,1.000000238418579,0.35
88,True,yes_no,1.0,Yes,Yes,0.5454545454545454,1.0,0.375,3,8,3,3,1.0000001192092896,1.000000238418579,0.35
89,True,yes_no,1.0,Yes,Yes,0.5454545454545454,1.0,0.375,3,8,3,3,1.0000001192092896,1.000000238418579,0.35
90,True,exact,0.7,B. 25,B,0.5454545454545454,1.0,0.375,3,8,3,3,1.0000001192092896,1.000000238418579,0.35
91,True,exact,0.7,A. The stop sign,A,0.5454545454545454,1.0,0.375,3,8,3,3,1.0,1.000000238418579,0.35
92,True,exact,0.7,A. The blue square is on the front face at the top row in the middle.,A,0.6666666666666666,1.0,0.5,4,8,4,4,1.0,1.0000001192092896,0.35
93,True,exact,0.7,C. The arrow is facing upward.,C,0.6666666666666666,1.0,0.5,4,8,4,4,1.0,1.0000001192092896,0.35
94,False,exact,0.3,B. The left side,A,0.4,1.0,0.25,2,8,2,2,1.0,1.000000238418579,0.35
95,False,numeric_mismatch,0.0,3,2,0.6,1.0,0.42857142857142855,3,7,3,3,1.0000001192092896,1.000000238418579,0.35
96,True,exact,0.7,B. To the right.,B,0.4,1.0,0.25,2,8,2,2,1.0,1.000000238418579,0.35
97,True,exact,0.7,"A. Yes, we are allowed to make a right.",A,0.5454545454545454,1.0,0.375,3,8,3,3,1.0000001192092896,1.000000238418579,0.35
98,False,yes_no,1.0,Yes,No,0.5454545454545454,1.0,0.375,3,8,3,3,1.000000238418579,1.0000003576278687,0.35
99,False,exact,1.0,Red,Green,0.5454545454545454,1.0,0.375,3,8,3,3,1.0000001192092896,1.000000238418579,0.35
100,True,exact,1.0,Red,Red,0.5454545454545454,1.0,0.375,3,8,3,3,1.0000001192092896,1.000000238418579,0.35
101,False,yes_no,1.0,Yes,No,0.5454545454545454,1.0,0.375,3,8,3,3,1.0000001192092896,1.000000238418579,0.35
102,False,exact,0.3,B. The stairs are to the left of the doors.,C,0.6666666666666666,1.0,0.5,4,8,4,4,1.0,1.000000238418579,0.35
103,False,exact,1.0,Green,Red,0.5454545454545454,1.0,0.375,3,8,3,3,1.0000001192092896,1.0000003576278687,0.35
104,False,yes_no,1.0,Yes,No,0.4,1.0,0.25,2,8,2,2,1.0,1.0000001192092896,0.35
105,True,exact,0.7,C. The speaker is placed on top of the wooden shelf.,C,0.5454545454545454,1.0,0.375,3,8,3,3,1.0000001192092896,1.000000238418579,0.35
106,True,exact,0.7,B. The cup in the front is taller.,C,0.6666666666666666,1.0,0.5,4,8,4,4,1.0,1.0,0.35
107,True,exact,0.7,A: 2 green lights,A,0.3636363636363636,1.0,0.2222222222222222,2,9,2,2,1.0,1.000000238418579,0.35
108,True,yes_no,1.0,Yes,Yes,0.5,1.0,0.3333333333333333,3,9,3,3,1.0000001192092896,1.000000238418579,0.35
109,False,exact,0.3,B. There is no salt in this photo.,C,0.4,1.0,0.25,2,8,2,2,1.000000238418579,1.000000238418579,0.35
110,True,exact,0.7,B. Away from us,B,0.5454545454545454,1.0,0.375,3,8,3,3,1.0000001192092896,1.000000238418579,0.35
111,True,exact,0.7,C. 40 meters,C,0.6666666666666666,1.0,0.5,4,8,4,4,1.0,1.0000001192092896,0.35
112,True,exact,0.7,B. The middle lane,A,0.4,1.0,0.25,2,8,2,2,1.0,1.0000001192092896,0.35
113,True,exact,0.7,B. 25,B,0.5454545454545454,1.0,0.375,3,8,3,3,1.0,1.000000238418579,0.35
114,True,exact,0.7,B. Because of the stop sign,C,0.5454545454545454,1.0,0.375,3,8,3,3,1.0,1.000000238418579,0.35
115,True,exact,0.7,A. Between 10 and 30 meters,B,0.7272727272727273,1.0,0.5714285714285714,4,7,4,4,1.0000001192092896,1.0000003576278687,0.35
116,True,yes_no,1.0,No,No,0.7692307692307693,1.0,0.625,5,8,5,5,1.0,1.000000238418579,0.35
117,True,exact,0.7,C. The doll is larger than the frame.,A,0.6666666666666666,1.0,0.5,4,8,4,4,1.0,1.000000238418579,0.35
118,False,exact,0.3,B. Right,A,0.5,1.0,0.3333333333333333,3,9,3,3,1.0,1.000000238418579,0.35
119,False,numeric_mismatch,0.0,2,1,0.3636363636363636,1.0,0.2222222222222222,2,9,2,2,1.0,1.000000238418579,0.35
120,True,exact,0.7,B. 3,B,0.5454545454545454,1.0,0.375,3,8,3,3,1.0000001192092896,1.000000238418579,0.35
121,True,yes_no,1.0,Yes,Yes,0.4,1.0,0.25,2,8,2,2,1.000000238418579,1.000000238418579,0.35
122,True,numeric_exact,1.0,2,2,0.4,1.0,0.25,2,8,2,2,1.0000001192092896,1.000000238418579,0.35
123,False,yes_no,1.0,Yes,No,0.5454545454545454,1.0,0.375,3,8,3,3,1.0000001192092896,1.000000238418579,0.35
124,False,numeric_mismatch,0.0,2,0,0.33333333333333337,1.0,0.2,2,10,2,2,1.0,1.000000238418579,0.35
125,True,numeric_exact,1.0,2,2,0.4,1.0,0.25,2,8,2,2,1.0000001192092896,1.000000238418579,0.35
126,True,numeric_exact,1.0,2,2,0.4,1.0,0.25,2,8,2,2,1.0000001192092896,1.000000238418579,0.35
127,False,numeric_mismatch,0.0,25,35,0.5454545454545454,1.0,0.375,3,8,3,3,1.0000001192092896,1.000000238418579,0.35
128,False,placeholder,0.0,insufficient information,No,0.0,0.0,0.0,0,9,0,0,0.0,0.0,0.35
129,True,yes_no,1.0,Yes,Yes,0.4,1.0,0.25,2,8,2,2,1.0,1.0000001192092896,0.35
130,True,yes_no,1.0,Yes,Yes,0.5454545454545454,1.0,0.375,3,8,3,3,1.0000001192092896,1.000000238418579,0.35
131,True,exact,0.7,"A. The access panel that is open, on the left, is larger than the access panel on the right.",C,0.6666666666666666,1.0,0.5,4,8,4,4,1.0,1.000000238418579,0.35
132,False,exact,1.0,Yes,B,0.5454545454545454,1.0,0.375,3,8,3,3,1.0000001192092896,1.0000003576278687,0.35
133,True,exact,0.7,C. The right lane.,C,0.2222222222222222,1.0,0.125,2,16,2,2,1.0,1.000000238418579,0.35
134,True,exact,0.7,B. 20,B,0.4,1.0,0.25,2,8,2,2,1.0,1.000000238418579,0.35
135,True,exact,0.7,B. Go straight,A,0.5454545454545454,1.0,0.375,3,8,3,3,1.0000001192092896,1.0000003576278687,0.35
136,False,exact,0.3,B. The white vehicle,A,0.5,1.0,0.3333333333333333,3,9,3,3,1.0000001192092896,1.000000238418579,0.35
137,True,yes_no,1.0,Yes,Yes,0.4,1.0,0.25,2,8,2,2,1.0,1.0000001192092896,0.35
138,False,exact,0.3,B. 2 lanes,C,0.3636363636363636,1.0,0.2222222222222222,2,9,2,2,1.000000238418579,1.0000003576278687,0.35
139,False,numeric_mismatch,0.0,1,2,0.5454545454545454,1.0,0.375,3,8,3,3,1.0000001192092896,1.000000238418579,0.35
140,True,exact,0.7,C. There are 2 wooden poles.,C,0.5454545454545454,1.0,0.375,3,8,3,3,1.0,1.0000001192092896,0.35
141,True,exact,0.7,A. between 5 and 10 meters,A,0.5,1.0,0.3333333333333333,3,9,3,3,1.0000001192092896,1.000000238418579,0.35
142,True,exact,0.7,A. The flag is facing downwards.,C,0.4,1.0,0.25,2,8,2,2,1.0,1.0000001192092896,0.35
143,False,yes_no,1.0,Yes,No,0.3636363636363636,1.0,0.2222222222222222,2,9,2,2,1.0,1.000000238418579,0.35
144,True,exact,0.7,B. The object on top is bigger than the object below.,C,0.3636363636363636,1.0,0.2222222222222222,2,9,2,2,1.0,1.000000238418579,0.35
145,False,exact,0.3,C. There is one animal in this picture.,B,0.5454545454545454,1.0,0.375,3,8,3,3,1.0000001192092896,1.0000001192092896,0.35
146,False,exact,0.3,B. 15 meters,C,0.5,1.0,0.3333333333333333,3,9,3,3,1.0000001192092896,1.000000238418579,0.35
147,True,exact,0.7,B: 2 Jeeps,B,0.6666666666666666,1.0,0.5,4,8,4,4,1.0,1.000000238418579,0.35
148,False,exact,0.3,"B. The door opens inward, swinging to the left.",C,0.5454545454545454,1.0,0.375,3,8,3,3,1.0000001192092896,1.000000238418579,0.35
149,False,exact,0.3,C. Right,A,0.5454545454545454,1.0,0.375,3,8,3,3,1.0,1.000000238418579,0.35
150,True,exact,0.7,B. The breakfast burrito is in front of the croissant sandwich.,C,0.5454545454545454,1.0,0.375,3,8,3,3,1.0,1.000000238418579,0.35
151,True,exact,0.7,B. There are 3 number 1's in this image.,A,0.6666666666666666,1.0,0.5,4,8,4,4,1.0,1.000000238418579,0.35
152,True,exact,0.7,A. The fire hydrant is to the left of the brown pole.,A,0.5454545454545454,1.0,0.375,3,8,3,3,1.0,1.000000238418579,0.35
153,True,exact,0.7,C. There are 11 wooden pegs in the image.,C,0.6666666666666666,1.0,0.5,4,8,4,4,1.0,1.0000001192092896,0.35
154,True,exact,0.7,A. 30,A,0.5454545454545454,1.0,0.375,3,8,3,3,1.0000001192092896,1.000000238418579,0.35
155,True,exact,0.7,B. 0 car,C,0.5454545454545454,1.0,0.375,3,8,3,3,1.0000001192092896,1.000000238418579,0.35
156,False,yes_no,1.0,Yes,No,0.4,1.0,0.25,2,8,2,2,1.0,1.0000001192092896,0.35
157,True,exact,0.7,C. The mitten is at the bottom of the rack.,A,0.33333333333333337,1.0,0.2,2,10,2,2,1.0,1.0000001192092896,0.35
158,False,exact,0.3,B. To the right,A,0.5454545454545454,1.0,0.375,3,8,3,3,1.0000001192092896,1.000000238418579,0.35
159,True,exact,0.7,B. The yellow landscaping truck is in the driveway to the right,B,0.5,1.0,0.3333333333333333,3,9,3,3,1.0000001192092896,1.000000238418579,0.35
160,False,placeholder,0.0,insufficient information,Yes,0.0,0.0,0.0,0,9,0,0,0.0,0.0,0.35
161,False,exact,0.3,B. 2,A,0.5,1.0,0.3333333333333333,3,9,3,3,1.0000001192092896,1.000000238418579,0.35
162,False,exact,1.0,Two,2,0.5454545454545454,1.0,0.375,3,8,3,3,1.0000001192092896,1.000000238418579,0.35
163,False,exact,0.3,A. 2,C,0.5333333333333333,1.0,0.36363636363636365,4,11,4,4,1.0,1.000000238418579,0.35
164,True,exact,0.7,B. The squirrel is right at the window looking in.,B,0.5,0.3333333333333333,1.0,3,1,1,1,1.0,1.0,0.35
165,False,exact,0.3,B. The red circle,A,0.4,1.0,0.25,2,8,2,2,1.0,1.000000238418579,0.35
166,False,exact,0.3,C. G,A,0.4,1.0,0.25,2,8,2,2,1.0,1.0000003576278687,0.35
167,False,exact,1.0,grey,Blue,0.33333333333333337,1.0,0.2,2,10,2,2,1.0000001192092896,1.000000238418579,0.35
168,False,exact,0.3,B. 3,A,0.6153846153846153,1.0,0.4444444444444444,4,9,4,4,1.0,1.000000238418579,0.35
169,True,exact,0.7,B. There are two outlets.,B,0.6666666666666666,1.0,0.5,4,8,4,4,1.0,1.0000001192092896,0.35
170,True,yes_no,1.0,Yes,Yes,0.5454545454545454,1.0,0.375,3,8,3,3,1.0000001192092896,1.0000001192092896,0.35
171,False,exact,0.3,C. There are 6 door hinges in this image.,B,0.6666666666666666,1.0,0.5,3,6,3,3,1.0000001192092896,1.000000238418579,0.35
172,True,exact,0.7,B. 4 meters,B,0.6153846153846153,1.0,0.4444444444444444,4,9,4,4,1.0,1.000000238418579,0.35
173,False,numeric_mismatch,0.0,2,0,0.4,1.0,0.25,2,8,2,2,1.0,1.000000238418579,0.35
174,False,numeric_mismatch,0.0,2,1,0.3636363636363636,1.0,0.2222222222222222,2,9,2,2,1.0,1.0000001192092896,0.35
175,False,exact,0.3,B. The brushes are to the right of the boxes on the table.,C,0.5,1.0,0.3333333333333333,3,9,3,3,1.0000001192092896,1.000000238418579,0.35
176,False,placeholder,0.0,insufficient information,3,0.0,0.0,0.0,0,8,0,0,0.0,0.0,0.35
177,True,exact,0.7,B. The right,B,0.5454545454545454,1.0,0.375,3,8,3,3,1.0000001192092896,1.000000238418579,0.35
178,False,exact,0.3,C. The pig is in front of the fence.,A,0.6666666666666666,1.0,0.5,4,8,4,4,1.0,1.000000238418579,0.35
179,False,placeholder,0.0,insufficient information,A,0.0,0.0,0.0,0,10,0,0,0.0,0.0,0.35
180,True,exact,0.7,C. Traffic Light,A,0.5454545454545454,1.0,0.375,3,8,3,3,1.0000001192092896,1.000000238418579,0.35
181,True,exact,0.7,B. The skull is looking to the top right.,B,0.4,1.0,0.25,2,8,2,2,1.0,1.000000238418579,0.35
182,True,exact,0.7,C. The blue pacifier is above the red pacifier on the left side of the image.,A,0.6666666666666666,1.0,0.5,4,8,4,4,1.0,1.000000238418579,0.35
183,True,yes_no,1.0,Yes,Yes,0.33333333333333337,1.0,0.2,2,10,2,2,1.0,1.000000238418579,0.35
184,False,yes_no,1.0,No,Yes,0.4,1.0,0.25,2,8,2,2,1.000000238418579,1.000000238418579,0.35
185,False,exact,0.3,A. There are two knobs in this photo.,C,0.5,1.0,0.3333333333333333,3,9,3,3,1.0000001192092896,1.0000001192092896,0.35
186,False,numeric_mismatch,0.0,2,1,0.4,1.0,0.25,2,8,2,2,1.0,1.000000238418579,0.35
187,False,exact,0.3,C. There are two candies.,B,0.5,1.0,0.3333333333333333,3,9,3,3,1.0000001192092896,1.000000238418579,0.35
188,True,yes_no,1.0,Yes,Yes,0.5454545454545454,1.0,0.375,3,8,3,3,1.0000001192092896,1.0000003576278687,0.35
189,False,numeric_mismatch,0.0,2,1,0.3636363636363636,1.0,0.2222222222222222,2,9,2,2,1.0,1.0000001192092896,0.35
190,True,exact,0.7,C. The right crystal.,A,0.5454545454545454,1.0,0.375,3,8,3,3,1.0,1.000000238418579,0.35
191,False,exact,0.3,C. There are 4 walking stones in the image.,B,0.3636363636363636,1.0,0.2222222222222222,2,9,2,2,1.0,1.000000238418579,0.35
192,True,yes_no,1.0,Yes,Yes,0.4,1.0,0.25,2,8,2,2,1.000000238418579,1.000000238418579,0.35
193,False,exact,0.3,A. Straight,B,0.5714285714285715,1.0,0.4,4,10,4,4,1.0,1.000000238418579,0.35
194,True,exact,0.7,B. The toy is directly behind the dog's tail.,A,0.7692307692307693,1.0,0.625,5,8,5,5,1.0,1.000000238418579,0.35
195,False,numeric_mismatch,0.0,2,4,0.3636363636363636,1.0,0.2222222222222222,2,9,2,2,1.0,1.000000238418579,0.35
196,False,numeric_mismatch,0.0,1,2,0.5454545454545454,1.0,0.375,3,8,3,3,1.0000001192092896,1.000000238418579,0.35
197,False,exact,0.3,"B. Yes, 1 left",A,0.5,1.0,0.3333333333333333,3,9,3,3,1.0000001192092896,1.000000238418579,0.35
198,True,exact,0.7,A. The ring is below the necklace on the left.,C,0.5454545454545454,1.0,0.375,3,8,3,3,1.0000001192092896,1.000000238418579,0.35
199,True,exact,0.7,C. Highway 441,C,0.3636363636363636,1.0,0.2222222222222222,2,9,2,2,1.0,1.0000001192092896,0.35
200,False,placeholder,0.0,insufficient information,A,0.0,0.0,0.0,0,8,0,0,0.0,0.0,0.35
201,False,exact,1.0,Two,2,0.4,1.0,0.25,2,8,2,2,1.0,1.000000238418579,0.35
202,True,exact,0.7,B. 60 meters,B,0.6153846153846153,1.0,0.4444444444444444,4,9,4,4,1.0,1.000000238418579,0.35
203,False,exact,0.3,A. 25,C,0.6666666666666666,1.0,0.5,4,8,4,4,1.0,1.0000001192092896,0.35
204,True,yes_no,1.0,Yes,Yes,0.4,1.0,0.25,2,8,2,2,1.0,1.0000001192092896,0.35
205,False,numeric_mismatch,0.0,3,1,0.6153846153846153,1.0,0.4444444444444444,4,9,4,4,1.0,1.000000238418579,0.35
206,False,exact,0.3,B. Yield,C,0.3157894736842105,1.0,0.1875,3,16,3,3,1.0,1.000000238418579,0.35
207,True,exact,0.7,B. left,B,0.5454545454545454,1.0,0.375,3,8,3,3,1.0000001192092896,1.000000238418579,0.35
208,False,exact,1.0,Green,Red,0.5454545454545454,1.0,0.375,3,8,3,3,1.0000001192092896,1.000000238418579,0.35
